which_des,which_obj,which_resonance,which_conditions_checked
K15G57Y,2527,not_resonant,none
K15G57Z,2528,not_resonant,none
K15G58A,2529,not_resonant,none
K15G58B,2530,not_resonant,none
K15G58C,2531,not_resonant,none
K15G58D,2532,not_resonant,none
K15G58E,2533,not_resonant,none
K15G58F,2534,not_resonant,none
K15G58H,2535,not_resonant,none
K15G58J,2536,not_resonant,none
K15G58K,2537,not_resonant,none
K15G58L,2538,not_resonant,none
K15G58M,2539,not_resonant,none
K15G58O,2540,not_resonant,none
K15G58P,2541,not_resonant,none
K15G58Q,2542,not_resonant,none
K15G58S,2543,not_resonant,none
K15G58T,2544,not_resonant,none
K15G58U,2545,not_resonant,none
K15G58W,2546,not_resonant,none
K15G58X,2547,not_resonant,none
K15G58Y,2548,not_resonant,none
K15G58Z,2549,not_resonant,none
K15G59A,2550,not_resonant,none
K15G59B,2551,not_resonant,none
K15G59C,2552,not_resonant,none
K15G59D,2553,not_resonant,none
K15G59E,2554,not_resonant,none
K15G59G,2555,not_resonant,none
K15G59H,2556,not_resonant,none
K15G59J,2557,not_resonant,none
K15G65R,2558,32,0
K15HJ5F,2559,other,0
K15HJ6Z,2560,not_resonant,none
K15KG2H,2561,not_resonant,none
K15KG3C,2562,not_resonant,none
K15KG7L,2563,21,0
K15KG7M,2564,21,0
K15KH2E,2565,other,0
K15KH2G,2566,not_resonant,none
K15KH3C,2567,32,0
K15KH3D,2568,32,0
K15KH3E,2569,32,0
K15KH3F,2570,32,0
K15KH3G,2571,32,0
K15KH3H,2572,32,0
K15KH3J,2573,32,0
K15KH3K,2574,32,0
K15KH3L,2575,32,0
K15KH3M,2576,32,0
K15KH3N,2577,32,0
K15KH3O,2578,32,0
K15KH3P,2579,32,0
K15KH3Q,2580,32,0
K15KH3R,2581,32,0
K15KH3S,2582,32,0
K15KH3T,2583,32,0
K15KH3U,2584,32,0
K15KH3V,2585,32,0
K15KH3W,2586,32,0
K15KH3X,2587,21,0
K15KH3Y,2588,other,0
K15KH3Z,2589,other,0
K15KH4A,2590,other,0
K15KH4B,2591,other,0
K15KH4C,2592,52,0
K15KH4D,2593,52,0
K15KH4E,2594,52,0
K15KH4F,2595,52,0
K15KH4G,2596,52,0
K15KH4H,2597,52,0
K15KH4J,2598,other,0
K15KH4K,2599,other,0
K15KH4L,2600,other,0
K15KH4M,2601,other,0
K15KH4N,2602,not_resonant,none
K15KH4O,2603,other,0
K15KH4P,2604,not_resonant,none
K15KH4Q,2605,not_resonant,none
K15KH4R,2606,not_resonant,none
K15KH4S,2607,not_resonant,none
K15KH4T,2608,not_resonant,none
K15KH4U,2609,not_resonant,none
K15KH4V,2610,not_resonant,none
K15KH4X,2611,not_resonant,none
K15KH4Y,2612,not_resonant,none
K15KH4Z,2613,not_resonant,none
K15KH5A,2614,not_resonant,none
K15KH5B,2615,not_resonant,none
K15KH5C,2616,not_resonant,none
K15KH5D,2617,not_resonant,none
K15KH5E,2618,not_resonant,none
K15KH5F,2619,not_resonant,none
K15KH5G,2620,not_resonant,none
K15KH5H,2621,not_resonant,none
K15KH5K,2622,not_resonant,none
K15KH5L,2623,not_resonant,none
K15KH5M,2624,not_resonant,none
K15KH5N,2625,not_resonant,none
K15KH5O,2626,not_resonant,none
K15KH5P,2627,not_resonant,none
K15KH5Q,2628,not_resonant,none
K15KH5R,2629,not_resonant,none
K15KH5S,2630,not_resonant,none
K15KH5T,2631,not_resonant,none
K15KH5U,2632,not_resonant,none
K15KH5V,2633,not_resonant,none
K15KH5W,2634,not_resonant,none
K15KH5X,2635,not_resonant,none
K15KH5Y,2636,not_resonant,none
K15KH5Z,2637,not_resonant,none
K15KH6A,2638,not_resonant,none
K15KH6B,2639,not_resonant,none
K15KH6C,2640,not_resonant,none
K15KH6D,2641,not_resonant,none
K15KH8G,2642,32,0
K15KH8K,2643,not_resonant,none
K15KJ9K,2644,not_resonant,none
K15KJ9L,2645,not_resonant,none
K15KJ9M,2646,32,0
K15MF0L,2647,not_resonant,none
K15MK4Q,2648,not_resonant,none
K15PV2D,2649,52,0
K15PV2F,2650,not_resonant,none
K15PV2L,2651,not_resonant,none
K15Q11T,2652,not_resonant,none
K15Q14L,2653,not_resonant,none
K15Q23W,2654,not_resonant,none
K15Q33V,2655,other,0
K15Q33W,2656,not_resonant,none
K15Q33X,2657,not_resonant,none
K15Q33Y,2658,not_resonant,none
K15Q33Z,2659,not_resonant,none
K15Q34A,2660,other,0
K15Q34B,2661,other,0
K15Q34C,2662,52,0
K15Q34L,2663,52,0
K15RO5S,2664,not_resonant,none
K15RO5T,2665,not_resonant,none
K15RO5U,2666,not_resonant,none
K15RO5W,2667,not_resonant,none
K15RR7C,2668,not_resonant,none
K15RR7J,2669,not_resonant,none
K15RR7R,2670,32,0
K15RR7S,2671,32,0
K15RR7T,2672,32,0
K15RR7U,2673,32,0
K15RR7V,2674,32,0
K15RR7X,2675,21,0
K15RR7Y,2676,21,0
K15RR7Z,2677,other,0
K15RR8A,2678,other,0
K15RR8B,2679,other,0
K15RR8C,2680,not_resonant,none
K15RR8D,2681,other,0
K15RR8E,2682,other,0
K15RR8F,2683,not_resonant,none
K15RR8G,2684,other,0
K15RR8H,2685,52,0
K15RR8J,2686,other,0
K15RR8K,2687,other,0
K15RR8L,2688,other,0
K15RR8M,2689,not_resonant,none
K15RR8O,2690,other,0
K15RR8P,2691,not_resonant,none
K15RR8Q,2692,not_resonant,none
K15RR8R,2693,other,0
K15RR8S,2694,other,0
K15RR8T,2695,other,0
K15RR8U,2696,not_resonant,none
K15RR8V,2697,other,0
K15RR8X,2698,not_resonant,none
K15RR8Y,2699,not_resonant,none
K15RR8Z,2700,not_resonant,none
K15RR9A,2701,not_resonant,none
K15RR9B,2702,not_resonant,none
K15RR9C,2703,not_resonant,none
K15RR9D,2704,not_resonant,none
K15RR9E,2705,not_resonant,none
K15RR9F,2706,not_resonant,none
K15RR9G,2707,not_resonant,none
K15RR9H,2708,not_resonant,none
K15RR9J,2709,not_resonant,none
K15RR9L,2710,not_resonant,none
K15RR9M,2711,not_resonant,none
K15RR9N,2712,not_resonant,none
K15RR9P,2713,not_resonant,none
K15RR9Q,2714,not_resonant,none
K15RR9R,2715,not_resonant,none
K15RR9S,2716,not_resonant,none
K15RR9T,2717,not_resonant,none
K15RR9U,2718,not_resonant,none
K15RR9V,2719,not_resonant,none
K15RR9W,2720,not_resonant,none
K15RR9Y,2721,not_resonant,none
K15RR9Z,2722,not_resonant,none
K15RS0A,2723,not_resonant,none
K15RS0B,2724,not_resonant,none
K15RS0C,2725,not_resonant,none
K15RS0D,2726,not_resonant,none
K15RS0E,2727,not_resonant,none
K15RS0F,2728,not_resonant,none
K15RS0G,2729,not_resonant,none
K15RS0H,2730,not_resonant,none
K15RS0L,2731,not_resonant,none
K15RS0M,2732,not_resonant,none
K15RS0N,2733,not_resonant,none
K15RS0O,2734,not_resonant,none
K15RS0P,2735,not_resonant,none
K15RS0Q,2736,not_resonant,none
K15RS0R,2737,not_resonant,none
K15RS0S,2738,not_resonant,none
K15RS0T,2739,not_resonant,none
K15RS0W,2740,not_resonant,none
K15RS0X,2741,not_resonant,none
K15RS0Y,2742,not_resonant,none
K15RS1A,2743,not_resonant,none
K15RS1B,2744,not_resonant,none
K15RS1C,2745,not_resonant,none
K15RS1D,2746,not_resonant,none
K15RS1E,2747,not_resonant,none
K15RS1F,2748,not_resonant,none
K15RS1G,2749,not_resonant,none
K15RS1H,2750,not_resonant,none
K15RS1J,2751,not_resonant,none
K15RS1K,2752,not_resonant,none
K15RS1L,2753,not_resonant,none
K15RS1M,2754,not_resonant,none
K15RS1N,2755,not_resonant,none
K15RS1O,2756,not_resonant,none
K15RS1P,2757,not_resonant,none
K15RS1Q,2758,not_resonant,none
K15RX4V,2759,other,0
K15RY5X,2760,not_resonant,none
K15RY5Y,2761,not_resonant,none
K15S20P,2762,not_resonant,none
K15S20V,2763,other,0
K15S49Z,2764,not_resonant,none
K15Ta0Y,2765,52,0
K15Ta1A,2766,not_resonant,none
K15Ta1C,2767,32,0
K15Ta1J,2768,not_resonant,none
K15Ta1L,2769,other,0
K15Ta1P,2770,32,0
K15Ta1R,2771,other,0
K15Ta1V,2772,not_resonant,none
K15Ta1W,2773,other,0
K15Ta2F,2774,not_resonant,none
K15Ta2G,2775,not_resonant,none
K15Ta2P,2776,not_resonant,none
K15Ta2R,2777,other,0
K15Ta3J,2778,not_resonant,none
K15Ta3K,2779,not_resonant,none
K15Ta3S,2780,52,0
K15Ta3X,2781,not_resonant,none
K15Ta7G,2782,not_resonant,none
K15Te8Q,2783,32,0
K15Tj4P,2784,not_resonant,none
K15Tj4Q,2785,not_resonant,none
K15U84K,2786,not_resonant,none
K15U87H,2787,other,0
K15UA5O,2788,not_resonant,none
K15VF7D,2789,21,0
K15VG4A,2790,not_resonant,none
K15VG4B,2791,not_resonant,none
K15VG4C,2792,not_resonant,none
K15VG4D,2793,not_resonant,none
K15VG4J,2794,32,0
K15VG4K,2795,32,0
K15VG4L,2796,32,0
K15VG4M,2797,32,0
K15VG4N,2798,32,0
K15VG4O,2799,32,0
K15VG4P,2800,32,0
K15VG4R,2801,32,0
K15VG4S,2802,32,0
K15VG4U,2803,32,0
K15VG4V,2804,32,0
K15VG4W,2805,32,0
K15VG4X,2806,32,0
K15VG4Y,2807,32,0
K15VG4Z,2808,32,0
K15VG5A,2809,32,0
K15VG5B,2810,32,0
K15VG5C,2811,32,0
K15VG5D,2812,32,0
K15VG5E,2813,32,0
K15VG5F,2814,32,0
K15VG5G,2815,32,0
K15VG5H,2816,32,0
K15VG5J,2817,32,0
K15VG5K,2818,32,0
K15VG5L,2819,32,0
K15VG5M,2820,32,0
K15VG5N,2821,32,0
K15VG5O,2822,32,0
K15VG5P,2823,32,0
K15VG5Q,2824,32,0
K15VG5R,2825,32,0
K15VG5S,2826,32,0
K15VG5T,2827,32,0
K15VG5U,2828,32,0
K15VG5V,2829,other,0
K15VG5W,2830,other,0
K15VG5X,2831,other,0
K15VG5Y,2832,21,0
K15VG5Z,2833,21,0
K15VG6A,2834,21,0
K15VG6B,2835,21,0
K15VG6C,2836,21,0
K15VG6D,2837,21,0
K15VG6E,2838,21,0
K15VG6F,2839,21,0
K15VG6G,2840,21,0
K15VG6H,2841,21,0
K15VG6J,2842,21,0
K15VG6K,2843,21,0
K15VG6L,2844,21,0
K15VG6M,2845,other,0
K15VG6N,2846,other,0
K15VG6O,2847,other,0
K15VG6P,2848,not_resonant,none
K15VG6Q,2849,not_resonant,none
K15VG6R,2850,other,0
K15VG6S,2851,other,0
K15VG6T,2852,other,0
K15VG6U,2853,other,0
K15VG6V,2854,other,0
K15VG6W,2855,other,0
K15VG6X,2856,other,0
K15VG6Y,2857,other,0
K15VG6Z,2858,other,0
K15VG7A,2859,other,0
K15VG7B,2860,other,0
K15VG7C,2861,other,0
K15VG7D,2862,52,0
K15VG7E,2863,52,0
K15VG7F,2864,52,0
K15VG7G,2865,other,0
K15VG7H,2866,other,0
K15VG7J,2867,other,0
K15VG7K,2868,other,0
K15VG7M,2869,other,0
K15VG7N,2870,other,0
K15VG7O,2871,not_resonant,none
K15VG7P,2872,not_resonant,none
K15VG7Q,2873,not_resonant,none
K15VG7R,2874,other,0
K15VG7S,2875,other,0
K15VG7T,2876,other,0
K15VG7U,2877,not_resonant,none
K15VG7V,2878,not_resonant,none
K15VG7W,2879,not_resonant,none
K15VG7X,2880,not_resonant,none
K15VG7Y,2881,not_resonant,none
K15VG7Z,2882,not_resonant,none
K15VG8A,2883,not_resonant,none
K15VG8B,2884,not_resonant,none
K15VG8C,2885,not_resonant,none
K15VG8D,2886,not_resonant,none
K15VG8E,2887,not_resonant,none
K15VG8F,2888,not_resonant,none
K15VG8G,2889,not_resonant,none
K15VG8H,2890,not_resonant,none
K15VG8J,2891,not_resonant,none
K15VG8K,2892,not_resonant,none
K15VG8L,2893,not_resonant,none
K15VG8M,2894,not_resonant,none
K15VG8N,2895,not_resonant,none
K15VG8O,2896,not_resonant,none
K15VG8P,2897,not_resonant,none
K15VG8Q,2898,not_resonant,none
K15VG8R,2899,not_resonant,none
K15VG8S,2900,not_resonant,none
K15VG8T,2901,not_resonant,none
K15VG8U,2902,not_resonant,none
K15VG8V,2903,not_resonant,none
K15VG8W,2904,not_resonant,none
K15VG8X,2905,not_resonant,none
K15VG8Y,2906,not_resonant,none
K15VG8Z,2907,not_resonant,none
K15VG9A,2908,not_resonant,none
K15VG9B,2909,not_resonant,none
K15VG9C,2910,not_resonant,none
K15VG9D,2911,not_resonant,none
K15VG9E,2912,not_resonant,none
K15VG9F,2913,not_resonant,none
K15VG9G,2914,not_resonant,none
K15VG9H,2915,not_resonant,none
K15VG9J,2916,not_resonant,none
K15VG9K,2917,not_resonant,none
K15VG9L,2918,not_resonant,none
K15VG9M,2919,not_resonant,none
K15VG9R,2920,not_resonant,none
K15VG9S,2921,not_resonant,none
K15VG9T,2922,not_resonant,none
K15VG9U,2923,not_resonant,none
K15VG9V,2924,not_resonant,none
K15VG9W,2925,not_resonant,none
K15VG9X,2926,not_resonant,none
K15VG9Z,2927,not_resonant,none
K15VH0B,2928,not_resonant,none
K15VH0C,2929,not_resonant,none
K15VH0D,2930,not_resonant,none
K15VH0E,2931,not_resonant,none
K15VH0F,2932,not_resonant,none
K15VH0G,2933,not_resonant,none
K15VH0H,2934,not_resonant,none
K15VH0J,2935,not_resonant,none
K15VH0K,2936,not_resonant,none
K15VH0L,2937,not_resonant,none
K15VH0M,2938,not_resonant,none
K15VH0N,2939,not_resonant,none
K15VH0O,2940,not_resonant,none
K15VH0P,2941,not_resonant,none
K15VH0Q,2942,not_resonant,none
K15VH0R,2943,not_resonant,none
K15VH0S,2944,not_resonant,none
K15VH0T,2945,not_resonant,none
K15VH0U,2946,not_resonant,none
K15VH0V,2947,not_resonant,none
K15VH0W,2948,not_resonant,none
K15VH0X,2949,not_resonant,none
K15VH0Y,2950,not_resonant,none
K15VH0Z,2951,not_resonant,none
K15VH1A,2952,not_resonant,none
K15VH1B,2953,not_resonant,none
K15VH1C,2954,not_resonant,none
K15VH1D,2955,not_resonant,none
K15VH1E,2956,not_resonant,none
K15VH1F,2957,not_resonant,none
K15VH1G,2958,not_resonant,none
K15VH1H,2959,not_resonant,none
K15VH1J,2960,not_resonant,none
K15VH1K,2961,not_resonant,none
K15VH1L,2962,not_resonant,none
K15VH1M,2963,not_resonant,none
K15VH1N,2964,not_resonant,none
K15VH1O,2965,not_resonant,none
K15VH1P,2966,not_resonant,none
K15VH1Q,2967,not_resonant,none
K15VH1R,2968,not_resonant,none
K15VH1S,2969,not_resonant,none
K15VH1T,2970,not_resonant,none
K15VH1U,2971,not_resonant,none
K15VH1V,2972,not_resonant,none
K15VH1W,2973,not_resonant,none
K15VH1X,2974,not_resonant,none
K15VH1Y,2975,not_resonant,none
K15VH1Z,2976,not_resonant,none
K15VH2A,2977,not_resonant,none
K15VH2C,2978,not_resonant,none
K15VH2D,2979,not_resonant,none
K15VH2E,2980,not_resonant,none
K15VH2F,2981,not_resonant,none
K15VH2G,2982,not_resonant,none
K15VH2H,2983,not_resonant,none
K15VH2J,2984,not_resonant,none
K15VH2L,2985,not_resonant,none
K15VH2M,2986,not_resonant,none
K15VH2N,2987,not_resonant,none
K15VH2O,2988,not_resonant,none
K15VH2P,2989,not_resonant,none
K15VH2R,2990,not_resonant,none
K15VH2S,2991,not_resonant,none
K15VH2T,2992,not_resonant,none
K15VH2U,2993,not_resonant,none
K15VH2V,2994,not_resonant,none
K15VH2W,2995,not_resonant,none
K15VH2X,2996,not_resonant,none
K15VH2Y,2997,not_resonant,none
K15VH2Z,2998,not_resonant,none
K15VH3A,2999,not_resonant,none
K15VH3B,3000,not_resonant,none
K15VH3C,3001,not_resonant,none
K15VH3D,3002,not_resonant,none
K15VH3E,3003,not_resonant,none
K15VH3F,3004,not_resonant,none
K15VH3G,3005,not_resonant,none
K15VH3H,3006,not_resonant,none
K15VH3J,3007,not_resonant,none
K15VH3K,3008,not_resonant,none
K15VH3L,3009,not_resonant,none
K15VH3M,3010,not_resonant,none
K15VH3N,3011,not_resonant,none
K15VH3O,3012,not_resonant,none
K15VH3Q,3013,not_resonant,none
K15VH3R,3014,not_resonant,none
K15VH3S,3015,not_resonant,none
K15VH3T,3016,not_resonant,none
K15VI1J,3017,not_resonant,none
K15VI4X,3018,not_resonant,none
K15VI4Z,3019,32,0
K15VK2O,3020,32,0
K15VK2P,3021,not_resonant,none
K15VK7Q,3022,not_resonant,none
K15VK7R,3023,not_resonant,none
K15VK7S,3024,not_resonant,none
K15VK7T,3025,not_resonant,none
K15VK7U,3026,other,0
K15VK7V,3027,52,0
K15VK8B,3028,not_resonant,none
K15Xm0O,3029,other,0
K16AR8N,3030,not_resonant,none
K16CS9D,3031,not_resonant,none
K16CW3N,3032,not_resonant,none
K16F58X,3033,not_resonant,none
K16F59L,3034,not_resonant,none
K16F59N,3035,not_resonant,none
K16F60C,3036,other,0
K16F60D,3037,not_resonant,none
K16FG4K,3038,not_resonant,none
K16GR6Z,3039,not_resonant,none
K16GR7B,3040,not_resonant,none
K16L89X,3041,not_resonant,none
K16PL9N,3042,other,0
K16PL9U,3043,not_resonant,none
K16PM0K,3044,not_resonant,none
K16PM0L,3045,not_resonant,none
K16PM0M,3046,not_resonant,none
K16PM0N,3047,not_resonant,none
K16PM0O,3048,not_resonant,none
K16PM0P,3049,not_resonant,none
K16PM0T,3050,not_resonant,none
K16Q85P,3051,not_resonant,none
K16QD3Z,3052,21,0
K16QD4L,3053,not_resonant,none
K16QD4M,3054,not_resonant,none
K16QD4N,3055,other,0
K16QD4O,3056,other,0
K16QD4P,3057,not_resonant,none
K16QD4V,3058,other,0
K16QD4W,3059,not_resonant,none
K16QD4X,3060,not_resonant,none
K16QD4Y,3061,not_resonant,none
K16QD4Z,3062,not_resonant,none
K16QD5A,3063,not_resonant,none
K16QD5B,3064,not_resonant,none
K16QD5C,3065,not_resonant,none
K16QD5D,3066,not_resonant,none
K16QD5E,3067,not_resonant,none
K16QD5F,3068,not_resonant,none
K16QD5G,3069,not_resonant,none
K16R81U,3070,not_resonant,none
K16R81V,3071,not_resonant,none
K16R81X,3072,not_resonant,none
K16R82A,3073,not_resonant,none
K16R82D,3074,not_resonant,none
K16R82F,3075,not_resonant,none
K16R82G,3076,not_resonant,none
K16R82H,3077,not_resonant,none
K16R82J,3078,not_resonant,none
K16R82K,3079,not_resonant,none
K16R82L,3080,other,0
K16R82M,3081,not_resonant,none
K16R82O,3082,not_resonant,none
K16R82P,3083,other,0
K16R82Q,3084,not_resonant,none
K16R82R,3085,not_resonant,none
K16R82S,3086,not_resonant,none
K16R82T,3087,not_resonant,none
K16R82W,3088,not_resonant,none
K16R82X,3089,not_resonant,none
K16S46S,3090,not_resonant,none
K16S55Q,3091,not_resonant,none
K16S55S,3092,not_resonant,none
K16S55U,3093,not_resonant,none
K16S55Y,3094,32,0
K16S56A,3095,not_resonant,none
K16S56B,3096,not_resonant,none
K16S56E,3097,other,0
K16S56K,3098,not_resonant,none
K16S56N,3099,not_resonant,none
K16S56O,3100,other,0
K16S56P,3101,not_resonant,none
K16S56U,3102,not_resonant,none
K16S56Y,3103,not_resonant,none
K16S57F,3104,32,0
K16S57J,3105,other,0
K16S57U,3106,not_resonant,none
K16S57W,3107,not_resonant,none
K16S58E,3108,not_resonant,none
K16S58J,3109,other,0
K16S58Q,3110,other,0
K16S58R,3111,other,0
K16S58V,3112,not_resonant,none
K16S59C,3113,not_resonant,none
K16SA5J,3114,not_resonant,none
K16SA5R,3115,not_resonant,none
K16SA5W,3116,other,0
K16SA5X,3117,not_resonant,none
K16SA5Y,3118,other,0
K16SA5Z,3119,not_resonant,none
K16SA6B,3120,not_resonant,none
K16T94S,3121,32,0
K16T94T,3122,not_resonant,none
K16T94W,3123,not_resonant,none
K16T94Y,3124,not_resonant,none
K16T94Z,3125,not_resonant,none
K16T95A,3126,other,0
K16TH6L,3127,not_resonant,none
K16TH6M,3128,not_resonant,none
K16UR3L,3129,not_resonant,none
K16UR3O,3130,21,0
K16UR3P,3131,not_resonant,none
K16UR3Q,3132,not_resonant,none
K16W75B,3133,not_resonant,none
K16X34O,3134,not_resonant,none
K17DC1M,3135,not_resonant,none
K17DC1N,3136,21,0
K17FG1O,3137,other,0
K17FG1Q,3138,21,0
K17FH3E,3139,not_resonant,none
K17O69F,3140,32,0
K17O69G,3141,not_resonant,none
K17O69K,3142,not_resonant,none
K17OG6W,3143,32,0
K17QD1Q,3144,not_resonant,none
K17QD1U,3145,not_resonant,none
K17RD7Y,3146,not_resonant,none
K17RD7Z,3147,not_resonant,none
K17SR7E,3148,other,0
K17SR9E,3149,not_resonant,none
K17U51X,3150,not_resonant,none
K17V34O,3151,not_resonant,none
K17W30H,3152,not_resonant,none
K17Y03K,3153,32,0
K17Y05G,3154,not_resonant,none
K18A18X,3155,not_resonant,none
K18A18Z,3156,not_resonant,none
K18A39H,3157,not_resonant,none
K18A39K,3158,not_resonant,none
K18M13F,3159,other,0
K18V18G,3160,other,0
K19A77C,3161,not_resonant,none
K19E05T,3162,not_resonant,none
K19G23J,3163,not_resonant,none
K19GE0M,3164,other,0
K19QA9S,3165,not_resonant,none
K19QA9T,3166,not_resonant,none
K19QA9U,3167,not_resonant,none
K19QA9V,3168,not_resonant,none
K19QA9Y,3169,not_resonant,none
K19QA9Z,3170,not_resonant,none
K19QB0A,3171,not_resonant,none
K19QB0B,3172,not_resonant,none
K19QB0D,3173,not_resonant,none
K19QB0G,3174,not_resonant,none
K19QB0H,3175,not_resonant,none
K19QB0K,3176,21,0
K19QB0L,3177,not_resonant,none
K19QB0M,3178,not_resonant,none
K19QB0N,3179,not_resonant,none
K19QB0O,3180,not_resonant,none
K19QB0P,3181,not_resonant,none
K19QB0Q,3182,not_resonant,none
K19QB0R,3183,not_resonant,none
K19QB0S,3184,not_resonant,none
K19QB0T,3185,not_resonant,none
K19QB0U,3186,not_resonant,none
K19QB0V,3187,not_resonant,none
K19QB0X,3188,not_resonant,none
K19QB0Y,3189,not_resonant,none
K19QB0Z,3190,32,0
K19QB1A,3191,not_resonant,none
K19QB1B,3192,not_resonant,none
K19QB1D,3193,not_resonant,none
K19QB1E,3194,not_resonant,none
K19QB1F,3195,not_resonant,none
K19QB1G,3196,not_resonant,none
K19QB1H,3197,not_resonant,none
K19QB1L,3198,not_resonant,none
K19QB1N,3199,not_resonant,none
K19QB1P,3200,not_resonant,none
K19QB1T,3201,not_resonant,none
K19R04O,3202,not_resonant,none
K19SE9S,3203,not_resonant,none
K19SK4O,3204,not_resonant,none
K19SN5B,3205,not_resonant,none
K19SN5H,3206,not_resonant,none
K19SN5J,3207,not_resonant,none
K19SN5N,3208,not_resonant,none
K19SN5O,3209,not_resonant,none
K19SN5P,3210,not_resonant,none
K19T07X,3211,not_resonant,none
K19U12H,3212,not_resonant,none
K20B63Q,3213,not_resonant,none
K20B94Z,3214,not_resonant,none
K20B95A,3215,not_resonant,none
K20B95B,3216,not_resonant,none
K20BA1Y,3217,not_resonant,none
K20BA2F,3218,not_resonant,none
K20C03M,3219,not_resonant,none
K20D05D,3220,not_resonant,none
K20D06H,3221,not_resonant,none
K20D06J,3222,not_resonant,none
K20F31B,3223,other,0
K20F40P,3224,not_resonant,none
K20F40Q,3225,not_resonant,none
K20F40R,3226,not_resonant,none
K20K11Q,3227,other,0
K20K11S,3228,not_resonant,none
K20K11V,3229,not_resonant,none
K20K54E,3230,32,0
K20K56J,3231,not_resonant,none
K20Q83H,3232,32,0
K20S35E,3233,other,0
K20U73X,3234,not_resonant,none
K20U73Y,3235,not_resonant,none
K20U73Z,3236,not_resonant,none
K20U74A,3237,not_resonant,none
K20U74C,3238,not_resonant,none
K20U74D,3239,not_resonant,none
K20U74E,3240,not_resonant,none
K20U74F,3241,not_resonant,none
K20V26L,3242,not_resonant,none
K21B15K,3243,not_resonant,none
K21C46J,3244,not_resonant,none
K21C46K,3245,other,0
K21C46L,3246,not_resonant,none
K21D15M,3247,not_resonant,none
K21D15N,3248,not_resonant,none
K21D15O,3249,not_resonant,none
K21D15P,3250,not_resonant,none
K21D15Q,3251,52,0
K21D15R,3252,not_resonant,none
K21D15S,3253,not_resonant,none
K21D17G,3254,not_resonant,none
K21D17H,3255,not_resonant,none
K21D17J,3256,not_resonant,none
K21D19N,3257,not_resonant,none
K21F54Q,3258,not_resonant,none
K21GC2U,3259,not_resonant,none
K21GC2V,3260,other,0
K21GC2W,3261,not_resonant,none
K21L37L,3262,not_resonant,none
K21L43N,3263,21,0
K21L43U,3264,not_resonant,none
K21Q98F,3265,not_resonant,none
K21Q98G,3266,not_resonant,none
K21Q98H,3267,not_resonant,none
K21RK9V,3268,not_resonant,none
K21RN6U,3269,not_resonant,none
K21RN6V,3270,not_resonant,none
K21RN6W,3271,not_resonant,none
K21RN6X,3272,not_resonant,none
K21RN6Y,3273,not_resonant,none
K21RN6Z,3274,not_resonant,none
K21RN7A,3275,not_resonant,none
K21RN7B,3276,not_resonant,none
K21RN7C,3277,not_resonant,none
K21RN7D,3278,not_resonant,none
K21RN7E,3279,not_resonant,none
K21RN7F,3280,not_resonant,none
K21RN7G,3281,not_resonant,none
K21RN7H,3282,not_resonant,none
K21RN7J,3283,not_resonant,none
K21RN7K,3284,not_resonant,none
K21RN7L,3285,not_resonant,none
K21RN7M,3286,32,0
K21RN7N,3287,not_resonant,none
K21RN7R,3288,not_resonant,none
K21RN7S,3289,not_resonant,none
K21RN7T,3290,32,0
K21RN7V,3291,not_resonant,none
K21RN7W,3292,not_resonant,none
K21RN7X,3293,not_resonant,none
K21TG5H,3294,not_resonant,none
K21TJ1P,3295,not_resonant,none
K21X07D,3296,not_resonant,none
K22F06R,3297,not_resonant,none
K22F07A,3298,other,0
K22F09H,3299,not_resonant,none
K22F12G,3300,not_resonant,none
K22F12K,3301,not_resonant,none
K22G03Y,3302,other,0
K22G03Z,3303,not_resonant,none
K22G04P,3304,not_resonant,none
K22G06V,3305,not_resonant,none
K22G07G,3306,not_resonant,none
K22H01E,3307,not_resonant,none
K22H19Q,3308,other,0
K22L02V,3309,not_resonant,none
K22L16K,3310,not_resonant,none
K22QQ1D,3311,not_resonant,none
K22QQ1E,3312,not_resonant,none
K22QQ1F,3313,not_resonant,none
K22U10N,3314,not_resonant,none
